period,date,digit_0,digit_1,digit_2,number_str,sum,sales,prizes
2014-09-11,2014246,6,2,7,627,15,11530,0
2014-09-12,2014247,7,1,4,714,12,25949,0
2014-09-13,2014248,7,0,8,708,15,16974,0
2014-09-14,2014249,2,8,1,281,11,19909,0
2014-09-15,2014250,1,8,0,180,9,12857,0
2014-09-16,2014251,4,2,4,424,10,18005,22526
2014-09-17,2014252,9,0,2,902,11,10578,0
2014-09-18,2014253,2,9,8,298,19,19575,0
2014-09-19,2014254,0,3,1,031,4,19169,0
2014-09-20,2014255,3,9,5,395,17,19147,0
2014-09-21,2014256,7,6,7,767,20,19258,19609
2014-09-22,2014257,1,9,4,194,14,26315,0
2014-09-23,2014258,7,1,8,718,16,25626,0
2014-09-24,2014259,5,5,1,551,11,20618,12473
2014-09-25,2014260,5,7,8,578,20,15369,0
2014-09-26,2014261,9,8,8,988,25,14099,14301
2014-09-27,2014262,9,4,1,941,14,12057,0
2014-09-28,2014263,3,0,4,304,7,13351,0
2014-09-29,2014264,3,9,5,395,17,8156,0
2014-09-30,2014265,5,0,2,502,7,8285,0
2014-10-01,2014266,5,8,2,582,15,8142,0
2014-10-02,2014267,1,6,2,162,9,7830,0
2014-10-03,2014268,6,2,1,621,9,7415,0
2014-10-04,2014269,9,4,2,942,15,6325,0
2014-10-05,2014270,2,7,5,275,14,23327,0
2014-10-06,2014271,3,9,2,392,14,8669,0
2014-10-07,2014272,4,7,8,478,19,27004,0
2014-10-08,2014273,3,7,0,370,10,12098,0
2014-10-09,2014274,3,6,1,361,10,17150,0
2014-10-10,2014275,8,9,7,897,24,12398,0
2014-10-11,2014276,4,6,0,460,10,7355,0
2014-10-12,2014277,6,6,9,669,21,23314,33637
2014-10-13,2014278,2,0,9,209,11,13945,0
2014-10-14,2014279,0,6,6,066,12,16965,12917
2014-10-15,2014280,5,2,4,524,11,14883,0
2014-10-16,2014281,3,3,9,339,15,12312,15455
2014-10-17,2014282,6,8,4,684,18,14402,0
2014-10-18,2014283,1,5,0,150,6,15140,0
2014-10-19,2014284,6,7,0,670,13,23178,0
2014-10-20,2014285,1,3,9,139,13,14724,0
2014-10-21,2014286,6,6,7,667,19,21890,15714
2014-10-22,2014287,7,3,8,738,18,20445,0
2014-10-23,2014288,1,0,0,100,1,14043,10107
2014-10-24,2014289,4,7,5,475,16,38822,0
2014-10-25,2014290,0,7,6,076,13,5775,0
2014-10-26,2014291,0,7,3,073,10,8816,0
2014-10-27,2014292,8,0,2,802,10,12359,0
2014-10-28,2014293,0,8,1,081,9,12785,0
2014-10-29,2014294,8,1,7,817,16,40836,0
2014-10-30,2014295,8,2,9,829,19,11514,0
2014-10-31,2014296,9,2,4,924,15,18068,0
2014-11-01,2014297,1,6,1,161,8,21517,19524
2014-11-02,2014298,0,1,1,011,2,11936,9839
2014-11-03,2014299,5,5,7,557,17,24526,14549
2014-11-04,2014300,6,0,5,605,11,32549,0
2014-11-05,2014301,2,1,3,213,6,17307,0
2014-11-06,2014302,6,0,5,605,11,5539,0
2014-11-07,2014303,9,4,9,949,22,13961,15703
2014-11-08,2014304,0,4,1,041,5,9558,0
2014-11-09,2014305,4,7,4,474,15,17796,12990
2014-11-10,2014306,3,9,1,391,13,11523,0
2014-11-11,2014307,6,4,2,642,12,18086,0
2014-11-12,2014308,4,2,9,429,15,8139,0
2014-11-13,2014309,4,6,1,461,11,10072,0
2014-11-14,2014310,9,6,3,963,18,20563,0
2014-11-15,2014311,2,9,6,296,17,23841,0
2014-11-16,2014312,3,0,8,308,11,29400,0
2014-11-17,2014313,1,9,2,192,12,12553,0
2014-11-18,2014314,7,1,3,713,11,25880,0
2014-11-19,2014315,3,1,2,312,6,6435,0
2014-11-20,2014316,6,7,8,678,21,30661,0
2014-11-21,2014317,0,4,1,041,5,10435,0
2014-11-22,2014318,3,8,2,382,13,12271,0
2014-11-23,2014319,7,7,4,774,18,19965,26498
2014-11-24,2014320,1,8,2,182,11,12712,0
2014-11-25,2014321,9,7,4,974,20,12874,0
2014-11-26,2014322,6,6,7,667,19,21744,17582
2014-11-27,2014323,9,4,5,945,18,17922,0
2014-11-28,2014324,9,3,5,935,17,8754,0
2014-11-29,2014325,2,8,8,288,18,12768,15077
2014-11-30,2014326,9,7,8,978,24,12143,0
2014-12-01,2014327,0,8,8,088,16,8461,11255
2014-12-02,2014328,3,6,2,362,11,25005,0
2014-12-03,2014329,7,8,5,785,20,18391,0
2014-12-04,2014330,6,1,4,614,11,15994,0
2014-12-05,2014331,2,8,7,287,17,18285,0
2014-12-06,2014332,3,3,0,330,6,10346,12748
2014-12-07,2014333,4,3,7,437,14,47638,0
2014-12-08,2014334,1,4,2,142,7,15293,0
2014-12-09,2014335,4,0,7,407,11,17596,0
2014-12-10,2014336,5,1,3,513,9,30005,0
2014-12-11,2014337,6,6,8,668,20,23692,27757
2014-12-12,2014338,9,1,7,917,17,21876,0
2014-12-13,2014339,6,4,9,649,19,20740,0
2014-12-14,2014340,3,7,0,370,10,30425,0
2014-12-15,2014341,7,7,3,773,17,8182,12305
2014-12-16,2014342,7,9,7,797,23,7799,6370
2014-12-17,2014343,6,1,4,614,11,14106,0
2014-12-18,2014344,2,0,9,209,11,18031,0
2014-12-19,2014345,6,9,5,695,20,24406,0
2014-12-20,2014346,3,5,1,351,9,14026,0
2014-12-21,2014347,9,9,8,998,26,16727,13868
2014-12-22,2014348,5,2,2,522,9,10842,11158
2014-12-23,2014349,7,7,1,771,15,11531,21848
2014-12-24,2014350,2,2,3,223,7,10419,8275
2014-12-25,2014351,5,0,5,505,10,15648,15453
2014-12-26,2014352,7,2,7,727,16,22989,15004
2014-12-27,2014353,5,1,5,515,11,21742,19481
2014-12-28,2014354,7,1,3,713,11,10464,0
2014-12-29,2014355,7,7,3,773,17,9692,13994
2014-12-30,2014356,3,7,1,371,11,7927,0
2014-12-31,2014357,6,1,0,610,7,8734,0
